survey,sheet,variable,code,label,code_num
nhs,Administrative,IDDAYWK,1,Sunday,1
nhs,Administrative,IDDAYWK,2,Monday,2
nhs,Administrative,IDDAYWK,3,Tuesday,3
nhs,Administrative,IDDAYWK,4,Wednesday,4
nhs,Administrative,IDDAYWK,5,Thursday,5
nhs,Administrative,IDDAYWK,6,Friday,6
nhs,Administrative,IDDAYWK,7,Saturday,7
nhs,Administrative,PROXYAD,0,Not applicable,0
nhs,Administrative,PROXYAD,1,"Answered by proxy, selected person present",1
nhs,Administrative,PROXYAD,2,"Answered by proxy, selected person not present",2
nhs,Administrative,PROXYAD,3,Answered by selected person,3
nhs,Administrative,PROXYCH,0,Not applicable,0
nhs,Administrative,PROXYCH,1,Answered by proxy,1
nhs,Administrative,PROXYCH,2,Not answered by proxy,2
nhs,Administrative,ALCPAROX,0,Not applicable,0
nhs,Administrative,ALCPAROX,1,Parent (or proxy) answered questions,1
nhs,Administrative,ALCPAROX,2,Parent present for all alcohol questions,2
nhs,Administrative,ALCPAROX,3,Parent present for some alcohol questions,3
nhs,Administrative,ALCPAROX,4,Parent not present for alcohol questions,4
nhs,Administrative,SMKPAROX,0,Not applicable,0
nhs,Administrative,SMKPAROX,1,Parent (or proxy) answered questions,1
nhs,Administrative,SMKPAROX,2,Parent present for all smoking questions,2
nhs,Administrative,SMKPAROX,3,Parent present for some smoking questions,3
nhs,Administrative,SMKPAROX,4,Parent not present for smoking questions,4
nhs,Administrative,HEAPAROX,0,Not applicable,0
nhs,Administrative,HEAPAROX,1,Parent (or proxy) answered questions,1
nhs,Administrative,HEAPAROX,2,Parent/guardian present for all health service use questions,2
nhs,Administrative,HEAPAROX,3,Parent/guardian present for some health service use questions,3
nhs,Administrative,HEAPAROX,4,Parent/guardian not present for health service use questions,4
nhs,Administrative,HEAPAROX,5,Did not see GP in last 12 months,5
nhs,Household level,DWLSTRBC,1,Separate house,1
nhs,Household level,DWLSTRBC,2,"Semi-detached, row or terrace house, townhouse, etc",2
nhs,Household level,DWLSTRBC,3,Flat or apartment,3
nhs,Household level,DWLSTRBC,4,Other dwelling,4
nhs,Household level,DWLSTRBC,8,Not stated,8
nhs,Household level,STATE,1,New South Wales,1
nhs,Household level,STATE,2,Victoria,2
nhs,Household level,STATE,3,Queensland,3
nhs,Household level,STATE,4,South Australia,4
nhs,Household level,STATE,5,Western Australia,5
nhs,Household level,STATE,6,Tasmania,6
nhs,Household level,STATE,7,Northern Territory,7
nhs,Household level,STATE,8,Australian Capital Territory,8
nhs,Household level,ARIABC,1,Major cities of Australia,1
nhs,Household level,ARIABC,2,Inner regional Australia,2
nhs,Household level,ARIABC,3,Other,3
nhs,Household level,STHHTYC,1,One family household with only family members present,1
nhs,Household level,STHHTYC,2,Two or more family household with only family members present,2
nhs,Household level,STHHTYC,3,One or more family household with non-family members present,3
nhs,Household level,STHHTYC,4,Lone person household,4
nhs,Household level,STHHTYC,5,Group household,5
nhs,Household level,HHSIZECB,1,One,1
nhs,Household level,HHSIZECB,2,Two,2
nhs,Household level,HHSIZECB,3,Three,3
nhs,Household level,HHSIZECB,4,Four,4
nhs,Household level,HHSIZECB,5,Five,5
nhs,Household level,HHSIZECB,6,Six or more,6
nhs,Household level,HHADULEC,0,None,0
nhs,Household level,HHADULEC,1,One,1
nhs,Household level,HHADULEC,2,Two,2
nhs,Household level,HHADULEC,3,Three,3
nhs,Household level,HHADULEC,4,Four or more,4
nhs,Household level,NUMKHHEC,0,None,0
nhs,Household level,NUMKHHEC,1,One,1
nhs,Household level,NUMKHHEC,2,Two,2
nhs,Household level,NUMKHHEC,3,Three,3
nhs,Household level,NUMKHHEC,4,Four or more,4
nhs,Household level,TENUREC,1,Owner without a mortgage,1
nhs,Household level,TENUREC,2,Owner with a mortgage,2
nhs,Household level,TENUREC,3,Renter,3
nhs,Household level,TENUREC,4,Other,4
nhs,Household level,LNDLORDB,0,Not applicable,0
nhs,Household level,LNDLORDB,1,Private,1
nhs,Household level,LNDLORDB,2,Public,2
nhs,Household level,LNDLORDB,3,Other,3
nhs,Household level,NUMRMSBC,0,None (including bedsitter),0
nhs,Household level,NUMRMSBC,1,One,1
nhs,Household level,NUMRMSBC,2,Two,2
nhs,Household level,NUMRMSBC,3,Three,3
nhs,Household level,NUMRMSBC,4,Four or more,4
nhs,Household level,NUMRMSBC,8,Not stated,8
nhs,Household level,PHONEQ01,1,Has landline/fixed phone,1
nhs,Household level,PHONEQ01,2,Does not have landline/fixed phone,2
nhs,Household level,PHONEQ01,8,Not stated,8
nhs,Household level,LANDWH,1,Has landline number in white pages,1
nhs,Household level,LANDWH,2,Does not have landline number in white pages,2
nhs,Household level,LANDWH,3,Does not have landline number,3
nhs,Household level,LANDWH,8,Not stated,8
nhs,Household level,INCDECE,00,Not applicable,0
nhs,Household level,INCDECE,01,First decile,1
nhs,Household level,INCDECE,02,Second decile,2
nhs,Household level,INCDECE,03,Third decile,3
nhs,Household level,INCDECE,04,Fourth decile,4
nhs,Household level,INCDECE,05,Fifth decile,5
nhs,Household level,INCDECE,06,Sixth decile,6
nhs,Household level,INCDECE,07,Seventh decile,7
nhs,Household level,INCDECE,08,Eighth decile,8
nhs,Household level,INCDECE,09,Ninth decile,9
nhs,Household level,INCDECE,10,Tenth decile,10
nhs,Household level,INCDECE,98,Not stated,98
nhs,Household level,INCDECE,99,Not known,99
nhs,Household level,FINSTRS,1,Could raise $2000 in a week,1
nhs,Household level,FINSTRS,2,Could not raise $2000 in a week,2
nhs,Household level,FINSTRS,8,Not stated,8
nhs,Household level,FINSTRS,9,Not known,9
nhs,Household level,DSMKHHRB,0,None,0
nhs,Household level,DSMKHHRB,1,One,1
nhs,Household level,DSMKHHRB,2,Two,2
nhs,Household level,DSMKHHRB,3,Three or more,3
nhs,Household level,DSMKHHRB,9,Not stated,9
nhs,Household level,SMKHSQ4D,0,Not applicable,0
nhs,Household level,SMKHSQ4D,1,Smoked at home indoors,1
nhs,Household level,SMKHSQ4D,5,Did not smoke at home indoors,5
nhs,Household level,SMKHSQ4D,8,Not stated,8
nhs,Household level,SF2SA1DN,00,Not applicable,0
nhs,Household level,SF2SA1DN,01,Decile 1 (lowest),1
nhs,Household level,SF2SA1DN,02,Decile 2,2
nhs,Household level,SF2SA1DN,03,Decile 3,3
nhs,Household level,SF2SA1DN,04,Decile 4,4
nhs,Household level,SF2SA1DN,05,Decile 5,5
nhs,Household level,SF2SA1DN,06,Decile 6,6
nhs,Household level,SF2SA1DN,07,Decile 7,7
nhs,Household level,SF2SA1DN,08,Decile 8,8
nhs,Household level,SF2SA1DN,09,Decile 9,9
nhs,Household level,SF2SA1DN,10,Decile 10 (highest),10
nhs,Demographics,AGEB,01,0 - 4 years,1
nhs,Demographics,AGEB,02,5 - 9 years,2
nhs,Demographics,AGEB,03,10 - 14 years,3
nhs,Demographics,AGEB,04,15 - 17 years,4
nhs,Demographics,AGEB,05,18 - 19 years,5
nhs,Demographics,AGEB,06,20 - 24 years,6
nhs,Demographics,AGEB,07,25 - 29 years,7
nhs,Demographics,AGEB,08,30 - 34 years,8
nhs,Demographics,AGEB,09,35 - 39 years,9
nhs,Demographics,AGEB,10,40 - 44 years,10
nhs,Demographics,AGEB,11,45 - 49 years,11
nhs,Demographics,AGEB,12,50 - 54 years,12
nhs,Demographics,AGEB,13,55 - 59 years,13
nhs,Demographics,AGEB,14,60 - 64 years,14
nhs,Demographics,AGEB,15,65 - 69 years,15
nhs,Demographics,AGEB,16,70 - 74 years,16
nhs,Demographics,AGEB,17,75 - 79 years,17
nhs,Demographics,AGEB,18,80 - 84 years,18
nhs,Demographics,AGEB,19,85 years and over,19
nhs,Demographics,AGEMTHS2,99,Not applicable,99
nhs,Demographics,SEX,1,Male,1
nhs,Demographics,SEX,2,Female,2
nhs,Demographics,SMSBC,0,Not applicable,0
nhs,Demographics,SMSBC,1,Married,1
nhs,Demographics,SMSBC,2,Not married,2
nhs,Demographics,COBCODBC,1,Australia,1
nhs,Demographics,COBCODBC,2,"Main English speaking countries (Canada, Republic of Ireland, New Zealand, South Africa, United Kingdom, United States of America",2
nhs,Demographics,COBCODBC,3,Other,3
nhs,Demographics,YOABC,1,Born in Australia,1
nhs,Demographics,YOABC,2,Arrived 1985 and before,2
nhs,Demographics,YOABC,3,Arrived 1986 - 1990,3
nhs,Demographics,YOABC,4,Arrived 1991 - 1995,4
nhs,Demographics,YOABC,5,Arrived 1996 - 2000,5
nhs,Demographics,YOABC,6,Arrived 2001 - 2005,6
nhs,Demographics,YOABC,7,Arrived 2006 to year of collection,7
nhs,Demographics,MAINLANB,0,Not applicable,0
nhs,Demographics,MAINLANB,1,English,1
nhs,Demographics,MAINLANB,2,Other Language,2
nhs,Demographics,PROFENG,0,Not applicable,0
nhs,Demographics,PROFENG,1,Very well,1
nhs,Demographics,PROFENG,2,Well,2
nhs,Demographics,PROFENG,3,Not well,3
nhs,Demographics,PROFENG,4,Not at all,4
nhs,Demographics,PROFENG,5,Mainly speaks English (at home),5
nhs,Demographics,PROFENG,9,Not known/Does not speak,9
nhs,Education,HYSCHCBC,0,Not applicable,0
nhs,Education,HYSCHCBC,1,Year 12 or equivalent,1
nhs,Education,HYSCHCBC,2,Year 11 or equivalent,2
nhs,Education,HYSCHCBC,3,Year 10 or equivalent,3
nhs,Education,HYSCHCBC,4,Year 9 or equivalent,4
nhs,Education,HYSCHCBC,5,Year 8 or below including never attended School,5
nhs,Education,HYSCHCBC,9,Not asked,9
nhs,Education,EDATTQ2,0,Not applicable,0
nhs,Education,EDATTQ2,1,Has non-school qualification,1
nhs,Education,EDATTQ2,2,Does not have non-school qualification,2
nhs,Education,HLVNSEDC,0,Not applicable,0
nhs,Education,HLVNSEDC,1,"Postgraduate Degree, Graduate Diploma, Graduate Certificate",1
nhs,Education,HLVNSEDC,2,Bachelor Degree,2
nhs,Education,HLVNSEDC,3,Advanced Diploma/Diploma,3
