survey_long,file,variable,description,sheet,population,definition
National Health Survey,AHSnhs11bsp,ABSLID,Household record identifer,Administrative,NA,NA
National Health Survey,AHSnhs11bsp,AGEB,Age of person,Demographics,All persons,NA
National Health Survey,AHSnhs11bsp,COBCODBC,Country of birth,Demographics,All persons,NA
National Health Survey,AHSnhs11bsp,YOABC,Year of arrival in Australia,Demographics,All persons,NA
National Health Survey,AHSnhs11bsp,CURSTUBC,Type of educational institution currently attending,Education,All persons currently studying aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,HLVNSEDC,Level of highest non-school qualification,Education,All persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,CLVNSEDC,Level of current non-school qualification,Education,All persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,INDUSTBC,Industry (main job),Employment,All employed persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,USHRWKB,Hours usually worked each week (all jobs),Employment,All employed persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,UNEMPDRB,Duration of unemployment (weeks),Employment,All unemployed persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,LSTWKFTB,Number of weeks since last worked full-time,Employment,All unemployed persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,OCCUPBC,Occupation (main job),Employment,All employed persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,SMOKE11B,Age last ceased daily smoking,Risk factors,All persons who have smoked daily but not currently and aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,SMOKEQ8B,Age commenced smoking daily,Risk factors,All persons who have ever smoked daily aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,SMKAGEDB,Duration of daily smoking - years,Risk factors,All persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,CNCRQ16B,Age first diagnosed with breast cancer,Health,Persons with breast cancer,NA
National Health Survey,AHSnhs11bsp,MSKRTBC,Age told had long term arthritis,Health,Persons who were ever told they had arthritis,NA
National Health Survey,AHSnhs11bsp,MSKOSTBC,Age told had osteoporosis or osteopenia,Health,Persons who were ever told they had osteoporosis or osteopenia,NA
National Health Survey,AHSnhs11bsp,AGEDIABC,Age first told had diabetes or high sugar levels,Health,Persons told they have diabetes/HSL,NA
National Health Survey,AHSnhs11bsp,MAINLANB,Main language spoken at home,Demographics,All persons aged 2 years and over,NA
National Health Survey,AHSnhs11bsp,SMSBC,Social marital status,Demographics,All persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,HYSCHCBC,Highest year of school completed,Education,All persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,MWBS14E,Number of times saw doctor or other health professional about feelings in last 4 weeks,Health,Persons aged 18 years and over who identified a feeling at least a little of the time,NA
National Health Survey,AHSnhs11bsp,EXFSRMNE,"Total minutes walked for fitness, recreation or sport in last week",Risk factor - Physical Activity,All persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,EXLWMBC,Total minutes undertaken moderate exercise in last week,Risk factor - Physical Activity,All persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,EXLWVBC,Total minutes undertaken vigorous exercise last week,Risk factor - Physical Activity,All persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,EXLWKFNR,"Number of times walked for 10 minutes or more for fitness, recreation or sport in last week",Risk factor - Physical Activity,All persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,NUEXTRAR,Number of times walked for 10 minutes or more for transport in the last week,Risk factor - Physical Activity,All persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,EXTRMINR,Total minutes spent walking for transport in the last week,Risk factor - Physical Activity,All persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,EXLMONOR,Number of times undertaken moderate exercise in last week,Risk factor - Physical Activity,All persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,EXLVIGNR,Number of times undertaken vigorous exercise in last week,Risk factor - Physical Activity,All persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,EXLWTIMR,"Total minutes undertaken exercise for fitness, recreation, sport or transport in last week",Risk factor - Physical Activity,All persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,EXLWNOR,Number of times did exercise or walked for transport in last week,Risk factor - Physical Activity,All persons aged 15 years and over,NA
National Health Survey,AHSnhs11bsp,AGEINSLC,Age started having daily insulin injections,Health,Persons having daily insulin,NA
National Health Survey,AHSnhs11bsp,AGEMHCF,Age first told had any mental health condition,Health,Persons with mental health condition,NA
National Health Survey,AHSnhs11bsp,PHDKGW2,Measured weight (kg),Physical measurements&Body Mass,All persons aged 2 years and over,NA
National Health Survey,AHSnhs11bsp,PHDCMH2,Measured height (cm),Physical measurements&Body Mass,All persons aged 2 years and over,NA
National Health Survey,AHSnhs11bsp,PHDCMWBC,Measured waist circumference (cm),Physical measurements&Body Mass,All persons aged 2 years and over,NA
National Health Survey,AHSnhs11bsp,BMISC,Body Mass Index (BMI) - score measured,Physical measurements&Body Mass,All persons aged 2 years and over,NA
National Health Survey,AHSnhs11bsp,BMICATHY,"Body Mass Index - measured - categories (Half year scale for children, 18+ for adults)",Physical measurements&Body Mass,All persons aged 2 years and over,NA
National Health Survey,AHSnhs11bsp,BMIMCATW,Body Mass Index - measured - categories (Whole years scale for all ages),Physical measurements&Body Mass,All persons aged 2 years and over,NA
National Health Survey,AHSnhs11bsp,PHDWCATM,Measured waist circumference - categories (male adults),Physical measurements&Body Mass,All males aged 18 years and over,NA
National Health Survey,AHSnhs11bsp,PHDWCATF,Measured waist circumference - categories (female adults),Physical measurements&Body Mass,All females aged 18 years and over,NA
